"id";"lang";"label";"type";"code"
"Q229";"fr";"Chypre";"sta";"CYP"
"Q213";"fr";"Tchéquie";"sta";"CZE"
"Q183";"fr";"Allemagne";"sta";"DEU"
"Q977";"fr";"Djibouti";"sta";"DJI"
"Q784";"fr";"Dominique";"sta";"DMA"
"Q35";"fr";"Danemark";"sta";"DNK"
"Q786";"fr";"Rép. dominicaine";"sta";"DOM"
"Q262";"fr";"Algérie";"sta";"DZA"
"Q736";"fr";"Équateur";"sta";"ECU"
"Q79";"fr";"Égypte";"sta";"EGY"
"Q986";"fr";"Érythrée";"sta";"ERI"
"Q29";"fr";"Espagne";"sta";"ESP"
"Q191";"fr";"Estonie";"sta";"EST"
"Q115";"fr";"Éthiopie";"sta";"ETH"
"Q33";"fr";"Finlande";"sta";"FIN"
"Q712";"fr";"Fidji";"sta";"FJI"
"Q142";"fr";"France";"sta";"FRA"
"Q702";"fr";"Micronésie";"sta";"FSM"
"Q1000";"fr";"Gabon";"sta";"GAB"
"Q145";"fr";"Royaume-Uni";"sta";"GBR"
"Q230";"fr";"Géorgie";"sta";"GEO"
"Q117";"fr";"Ghana";"sta";"GHA"
"Q1006";"fr";"Guinée";"sta";"GIN"
"Q1005";"fr";"Gambie";"sta";"GMB"
"Q1007";"fr";"Guinée-Bissau";"sta";"GNB"
"Q983";"fr";"Guinée équatoriale";"sta";"GNQ"
"Q41";"fr";"Grèce";"sta";"GRC"
"Q769";"fr";"Grenade";"sta";"GRD"
"Q774";"fr";"Guatemala";"sta";"GTM"
"Q734";"fr";"Guyana";"sta";"GUY"
"Q783";"fr";"Honduras";"sta";"HND"
"Q224";"fr";"Croatie";"sta";"HRV"
"Q790";"fr";"Haïti";"sta";"HTI"
"Q28";"fr";"Hongrie";"sta";"HUN"
"Q252";"fr";"Indonésie";"sta";"IDN"
"Q668";"fr";"Inde";"sta";"IND"
"Q27";"fr";"Irlande";"sta";"IRL"
"Q794";"fr";"Iran";"sta";"IRN"
"Q796";"fr";"Irak";"sta";"IRQ"
"Q189";"fr";"Islande";"sta";"ISL"
"Q801";"fr";"Israël";"sta";"ISR"
"Q38";"fr";"Italie";"sta";"ITA"
"Q766";"fr";"Jamaïque";"sta";"JAM"
"Q810";"fr";"Jordanie";"sta";"JOR"
"Q17";"fr";"Japon";"sta";"JPN"
"Q232";"fr";"Kazakhstan";"sta";"KAZ"
"Q114";"fr";"Kenya";"sta";"KEN"
"Q813";"fr";"Kirghizistan";"sta";"KGZ"
"Q424";"fr";"Cambodge";"sta";"KHM"
"Q710";"fr";"Kiribati";"sta";"KIR"
"Q763";"fr";"Saint-Christ.-et-Niévès";"sta";"KNA"
"Q884";"fr";"Corée du Sud";"sta";"KOR"
"Q817";"fr";"Koweït";"sta";"KWT"
"Q819";"fr";"Laos";"sta";"LAO"
"Q822";"fr";"Liban";"sta";"LBN"
"Q1014";"fr";"Liberia";"sta";"LBR"
"Q1016";"fr";"Libye";"sta";"LBY"
"Q760";"fr";"Sainte-Lucie";"sta";"LCA"
"Q347";"fr";"Liechtenstein";"sta";"LIE"
"Q854";"fr";"Sri Lanka";"sta";"LKA"
"Q1013";"fr";"Lesotho";"sta";"LSO"
"Q37";"fr";"Lituanie";"sta";"LTU"
"Q32";"fr";"Luxembourg";"sta";"LUX"
"Q211";"fr";"Lettonie";"sta";"LVA"
"Q1028";"fr";"Maroc";"sta";"MAR"
"Q235";"fr";"Monaco";"sta";"MCO"
"Q217";"fr";"Moldavie";"sta";"MDA"
"Q1019";"fr";"Madagascar";"sta";"MDG"
"Q826";"fr";"Maldives";"sta";"MDV"
"Q96";"fr";"Mexique";"sta";"MEX"
"Q709";"fr";"Îles Marshall";"sta";"MHL"
"Q221";"fr";"Macédoine (N)";"sta";"MKD"
"Q912";"fr";"Mali";"sta";"MLI"
"Q233";"fr";"Malte";"sta";"MLT"
"Q836";"fr";"Birmanie";"sta";"MMR"
"Q236";"fr";"Monténégro";"sta";"MNE"
"Q711";"fr";"Mongolie";"sta";"MNG"
"Q1029";"fr";"Mozambique";"sta";"MOZ"
"Q1025";"fr";"Mauritanie";"sta";"MRT"
"Q1027";"fr";"Maurice";"sta";"MUS"
"Q1020";"fr";"Malawi";"sta";"MWI"
"Q833";"fr";"Malaisie";"sta";"MYS"
"Q1030";"fr";"Namibie";"sta";"NAM"
"Q1032";"fr";"Niger";"sta";"NER"
"Q1033";"fr";"Nigeria";"sta";"NGA"
"Q811";"fr";"Nicaragua";"sta";"NIC"
"Q29999";"fr";"Pays-Bas";"sta";"NLD"
"Q20";"fr";"Norvège";"sta";"NOR"
"Q837";"fr";"Népal";"sta";"NPL"
"Q697";"fr";"Nauru";"sta";"NRU"
"Q664";"fr";"Nouvelle-Zélande";"sta";"NZL"
"Q842";"fr";"Oman";"sta";"OMN"
"Q843";"fr";"Pakistan";"sta";"PAK"
"Q804";"fr";"Panama";"sta";"PAN"
"Q419";"fr";"Pérou";"sta";"PER"
"Q928";"fr";"Philippines";"sta";"PHL"
"Q695";"fr";"Palaos";"sta";"PLW"
"Q691";"fr";"Papouasie-N.G. ";"sta";"PNG"
"Q36";"fr";"Pologne";"sta";"POL"
"Q423";"fr";"Corée du Nord";"sta";"PRK"
"Q45";"fr";"Portugal";"sta";"PRT"
"Q733";"fr";"Paraguay";"sta";"PRY"
"Q846";"fr";"Qatar";"sta";"QAT"
"Q218";"fr";"Roumanie";"sta";"ROU"
"Q159";"fr";"Russie";"sta";"RUS"
"Q1037";"fr";"Rwanda";"sta";"RWA"
"Q851";"fr";"Arabie saoudite";"sta";"SAU"
"Q1049";"fr";"Soudan";"sta";"SDN"
"Q1041";"fr";"Sénégal";"sta";"SEN"
"Q334";"fr";"Singapour";"sta";"SGP"
"Q334";"fr";"Singapour";"cap";"SGP"
"Q685";"fr";"Îles Salomon";"sta";"SLB"
"Q1044";"fr";"Sierra Leone";"sta";"SLE"
"Q792";"fr";"Salvador";"sta";"SLV"
"Q238";"fr";"Saint-Marin";"sta";"SMR"
"Q1045";"fr";"Somalie";"sta";"SOM"
